transaction_id,product_id,product_name,category,quantity,price,seller_id,region,timestamp
T0,P31,Product Q,Cat3,1,419.82,S7,West,2025-01-01 00:00:00
T1,P55,Product R,Cat3,1,490.56,S2,North,2025-01-01 00:01:00
T2,P76,Product K,Cat1,1,328.4,S12,North,2025-01-01 00:02:00
T3,P99,Product Q,Cat4,1,129.53,S17,West,2025-01-01 00:03:00
T4,P13,Product C,Cat1,8,289.83,S8,South,2025-01-01 00:04:00
T5,P38,Product G,Cat4,8,310.33,S2,North,2025-01-01 00:05:00
T6,P49,Product I,Cat3,9,447.03,S2,South,2025-01-01 00:06:00
T7,P69,Product R,Cat4,9,417.72,S6,North,2025-01-01 00:07:00
T8,P12,Product T,Cat3,1,26.17,S7,North,2025-01-01 00:08:00
T9,P26,Product L,Cat2,3,300.79,S11,South,2025-01-01 00:09:00
T10,P51,Product C,Cat4,7,488.27,S16,North,2025-01-01 00:10:00
T11,P7,Product P,Cat4,4,67.35,S12,West,2025-01-01 00:11:00
T12,P84,Product H,Cat2,2,421.41,S7,South,2025-01-01 00:12:00
T13,P36,Product F,Cat4,1,33.42,S7,North,2025-01-01 00:13:00
T14,P40,Product G,Cat3,4,288.54,S2,East,2025-01-01 00:14:00
T15,P92,Product H,Cat1,4,424.17,S5,South,2025-01-01 00:15:00
T16,P26,Product Q,Cat3,5,33.39,S1,North,2025-01-01 00:16:00
T17,P10,Product H,Cat5,1,144.22,S12,North,2025-01-01 00:17:00
T18,P6,Product B,Cat5,3,392.8,S15,West,2025-01-01 00:18:00
T19,P7,Product O,Cat3,7,244.6,S12,North,2025-01-01 00:19:00
T20,P79,Product D,Cat5,9,250.49,S9,West,2025-01-01 00:20:00
T21,P99,Product G,Cat2,9,237.19,S7,South,2025-01-01 00:21:00
T22,P21,Product Q,Cat3,8,56.52,S14,East,2025-01-01 00:22:00
T23,P99,Product B,Cat2,1,156.25,S2,South,2025-01-01 00:23:00
T24,P18,Product M,Cat5,10,134.27,S11,West,2025-01-01 00:24:00
T25,P11,Product G,Cat3,1,394.14,S17,East,2025-01-01 00:25:00
T26,P72,Product R,Cat2,4,167.99,S17,North,2025-01-01 00:26:00
T27,P43,Product A,Cat1,9,482.35,S4,North,2025-01-01 00:27:00
T28,P78,Product K,Cat2,1,223.52,S7,North,2025-01-01 00:28:00
T29,P5,Product Q,Cat5,5,352.88,S5,East,2025-01-01 00:29:00
T30,P97,Product T,Cat5,5,304.3,S14,West,2025-01-01 00:30:00
T31,P28,Product C,Cat5,5,338.19,S5,West,2025-01-01 00:31:00
